parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,true_param,sim
ndt,0.481,0,0.005,0.471,0.478,0.481,0.484,0.489,5792.078,1,0.197,50
v_1,0.376,0.002,0.121,0.149,0.291,0.373,0.456,0.617,5358.477,1,1.006,51
v_2,0.756,0.002,0.157,0.448,0.649,0.754,0.862,1.069,6363.284,1,1.823,51
a,1.817,0.001,0.084,1.66,1.759,1.815,1.872,1.991,5392.352,1,1.921,51
ndt,0.422,0,0.022,0.375,0.409,0.424,0.437,0.46,6286.034,1,0.224,51
v_1,0.124,0.001,0.074,0.022,0.069,0.111,0.164,0.303,7290.932,1,1.453,52
v_2,0.142,0.001,0.082,0.027,0.079,0.128,0.188,0.34,6850.02,1,1.198,52
a,1.108,0.001,0.049,1.017,1.075,1.106,1.141,1.21,4790.798,1,1.479,52
ndt,0.44,0,0.01,0.418,0.434,0.441,0.448,0.459,4820.887,1,0.12,52
v_1,1.526,0.002,0.191,1.147,1.398,1.525,1.652,1.908,6685.867,1,2.244,53
v_2,0.706,0.002,0.166,0.385,0.591,0.705,0.819,1.029,6577.975,1,1.138,53
a,1.699,0.001,0.089,1.534,1.636,1.694,1.756,1.886,6047.346,1,1.653,53
ndt,0.47,0,0.015,0.436,0.461,0.471,0.481,0.496,6128.817,1,0.346,53
v_1,0.517,0.002,0.191,0.178,0.381,0.504,0.642,0.913,6365.474,1,1.664,54
v_2,0.16,0.001,0.086,0.033,0.095,0.146,0.213,0.36,7034.976,1,0.852,54
a,1.346,0.001,0.061,1.231,1.304,1.344,1.384,1.472,5380.763,1,1.349,54
ndt,0.436,0,0.014,0.405,0.428,0.437,0.445,0.459,4976.956,1,0.192,54
v_1,0.227,0.001,0.128,0.045,0.131,0.205,0.3,0.532,7565.031,1,0.857,55
v_2,0.223,0.002,0.136,0.035,0.123,0.197,0.297,0.54,6974.228,1,0.603,55
a,0.698,0,0.031,0.64,0.677,0.697,0.719,0.76,5427.513,1,0.744,55
ndt,0.484,0,0.004,0.475,0.481,0.484,0.486,0.49,5469.62,1.001,0.194,55
v_1,3.814,1.765,2.56,0.749,1.084,4.492,6.928,7.225,2.104,4.974,0.932,56
v_2,3.63,1.694,2.427,0.149,2.537,3.27,4.737,7.812,2.054,8.735,1.345,56
a,0,0,0,0,0,0,0,0,45.033,1.097,1.324,56
ndt,0.501,0,0,0.501,0.501,0.501,0.501,0.501,2.002,0.999,1.051,56
v_1,0.218,0.001,0.112,0.047,0.132,0.205,0.288,0.476,6847.558,1,1.665,57
v_2,0.167,0.001,0.09,0.033,0.099,0.153,0.221,0.375,7615.933,1,1.118,57
a,1.259,0.001,0.056,1.154,1.221,1.258,1.296,1.375,5290.177,1.001,1.606,57
ndt,0.434,0,0.013,0.406,0.426,0.435,0.443,0.456,4994.742,1,0.12,57
v_1,4.017,0.005,0.388,3.243,3.757,4.018,4.284,4.769,5938.935,1,4.118,58
v_2,1.995,0.004,0.305,1.413,1.787,1.995,2.196,2.605,5641.26,1,1.712,58
a,1.147,0.001,0.081,1.002,1.09,1.143,1.2,1.317,4073.553,1,1.074,58
ndt,0.492,0,0.006,0.478,0.488,0.492,0.496,0.502,4473.663,1,0.564,58
v_1,0.353,0.002,0.198,0.071,0.205,0.321,0.466,0.812,7255.36,1,1.588,59
v_2,0.361,0.002,0.202,0.068,0.209,0.329,0.479,0.829,7499.666,1,2.174,59
a,0.55,0,0.025,0.504,0.533,0.549,0.566,0.601,4660.855,1,0.529,59
ndt,0.489,0,0.002,0.484,0.488,0.49,0.491,0.494,4610.928,1,0.136,59
v_1,5.56,0.009,0.737,4.126,5.058,5.557,6.07,6.992,6050.38,1,0.459,60
v_2,3.401,0.008,0.577,2.281,3.01,3.4,3.79,4.557,5790.528,1,0.381,60
a,0.462,0,0.028,0.41,0.442,0.46,0.481,0.521,3552.349,1,0.723,60
ndt,0.49,0,0.002,0.486,0.489,0.49,0.491,0.493,3684.146,1,0.954,60
v_1,0.445,0.002,0.166,0.151,0.324,0.435,0.558,0.791,6031.14,1,2.684,61
v_2,0.317,0.002,0.144,0.081,0.209,0.304,0.412,0.629,5498.029,1.001,2.436,61
a,1.258,0.001,0.059,1.148,1.218,1.255,1.296,1.379,4659.644,1,1.685,61
ndt,0.428,0,0.013,0.401,0.42,0.429,0.437,0.45,4460.592,1,0.085,61
v_1,0.85,0.003,0.198,0.472,0.714,0.846,0.985,1.25,6160.412,1,3.637,62
v_2,0.852,0.003,0.211,0.438,0.71,0.847,0.991,1.275,6004.735,1.001,3.327,62
a,1.266,0.001,0.062,1.154,1.224,1.264,1.305,1.397,5333.355,1,1.616,62
ndt,0.446,0,0.011,0.421,0.439,0.447,0.453,0.465,5241.863,1,0.111,62
v_1,0.101,0.001,0.06,0.018,0.057,0.091,0.133,0.245,7656.425,1,0.712,63
v_2,0.379,0.002,0.133,0.137,0.283,0.375,0.468,0.652,6310.438,1,1.865,63
a,1.54,0.001,0.069,1.411,1.492,1.536,1.585,1.683,5336.823,1,1.836,63
ndt,0.394,0,0.019,0.353,0.382,0.395,0.407,0.427,5623.854,1,0.122,63
v_1,1.324,0.004,0.289,0.76,1.134,1.327,1.516,1.885,5835.454,1,2.357,64
v_2,0.506,0.003,0.205,0.148,0.357,0.496,0.638,0.945,6477.972,1,1.275,64
a,0.954,0.001,0.043,0.873,0.925,0.952,0.982,1.043,6170.679,1,0.884,64
ndt,0.488,0,0.006,0.475,0.484,0.488,0.492,0.497,5789.405,1,0.331,64
v_1,0.177,0.001,0.111,0.03,0.094,0.155,0.236,0.453,8110.557,1,0.308,65
v_2,0.253,0.002,0.151,0.047,0.14,0.223,0.335,0.625,7640.945,1,3.045,65
a,0.437,0,0.02,0.401,0.424,0.436,0.45,0.478,4699.208,1,0.82,65
ndt,0.49,0,0.002,0.486,0.489,0.49,0.491,0.493,4465.114,1,0.039,65
v_1,1.27,0.005,0.347,0.597,1.033,1.265,1.505,1.962,5244.264,1.001,2.208,66
v_2,1.276,0.004,0.321,0.656,1.059,1.271,1.491,1.927,6001.344,1,3.352,66
a,0.764,0,0.035,0.699,0.74,0.763,0.787,0.836,5543.296,1,0.726,66
ndt,0.489,0,0.004,0.481,0.487,0.489,0.492,0.495,6170.231,1,0.248,66
v_1,5.499,0.008,0.642,4.254,5.071,5.491,5.932,6.768,5774.099,1,1.837,67
v_2,4.88,0.008,0.602,3.741,4.474,4.879,5.282,6.062,5350.092,1,1.999,67
a,0.539,0.001,0.04,0.466,0.511,0.537,0.565,0.624,3863.12,1.001,1.171,67
ndt,0.487,0,0.002,0.481,0.485,0.487,0.488,0.491,3875.556,1.001,0.955,67
v_1,0.247,0.002,0.148,0.045,0.137,0.218,0.326,0.604,6787.534,1,3.444,68
v_2,0.284,0.002,0.169,0.047,0.157,0.251,0.382,0.687,7528.783,1,1.75,68
a,0.433,0,0.019,0.398,0.419,0.432,0.445,0.473,4949.901,1.001,0.561,68
ndt,0.491,0,0.002,0.487,0.49,0.491,0.492,0.493,4797.852,1.001,0.05,68
v_1,0.146,0.001,0.087,0.025,0.082,0.129,0.193,0.358,7210.274,1,1.554,69
v_2,0.112,0.001,0.07,0.019,0.06,0.097,0.148,0.284,7380.581,1,0.327,69
a,0.742,0,0.033,0.68,0.719,0.741,0.763,0.812,4931.206,1,1.762,69
ndt,0.464,0,0.005,0.453,0.461,0.464,0.467,0.473,4855.993,1,0.022,69
v_1,2.229,0.004,0.236,1.765,2.073,2.231,2.388,2.695,4360.245,1,1.496,70
v_2,2.794,0.004,0.304,2.183,2.593,2.794,3.002,3.388,4660.388,1,2.241,70
a,1.559,0.003,0.143,1.313,1.458,1.549,1.647,1.869,3209.827,1.001,1.656,70
ndt,0.454,0,0.017,0.416,0.444,0.456,0.466,0.482,3515.288,1.001,0.726,70
v_1,1.632,0.003,0.207,1.231,1.493,1.634,1.774,2.034,4990.346,1.001,1.127,71
v_2,2.491,0.004,0.244,2.006,2.327,2.496,2.655,2.959,4613.364,1,1.379,71
a,1.648,0.002,0.137,1.413,1.552,1.636,1.731,1.951,3537.672,1.001,1.825,71
ndt,0.415,0,0.02,0.371,0.403,0.416,0.429,0.449,3889.184,1.001,0.834,71
v_1,0.099,0.001,0.06,0.017,0.055,0.089,0.131,0.246,6902.867,1,0.436,72
v_2,0.136,0.001,0.081,0.022,0.076,0.121,0.179,0.331,7567.86,1,0.916,72
a,0.846,0.001,0.039,0.775,0.819,0.844,0.871,0.926,4997.567,1,1.526,72
ndt,0.454,0,0.007,0.44,0.45,0.454,0.459,0.466,4772.786,1,0.027,72
v_1,0.88,0.002,0.171,0.543,0.766,0.882,0.995,1.212,6675.676,1,1.763,73
v_2,1.01,0.002,0.162,0.69,0.901,1.009,1.119,1.326,6802.628,1,2.235,73
a,1.737,0.001,0.089,1.572,1.677,1.734,1.793,1.923,5852.807,1,1.803,73
ndt,0.458,0,0.017,0.421,0.449,0.46,0.47,0.486,5984.24,1,0.217,73
v_1,0.136,0.001,0.085,0.023,0.073,0.119,0.182,0.344,8079.464,1,1.285,74
v_2,0.114,0.001,0.069,0.021,0.063,0.099,0.151,0.283,7570.273,1,0.675,74
a,0.765,0,0.035,0.7,0.741,0.765,0.788,0.835,4973.092,1.001,1.537,74
ndt,0.461,0,0.005,0.45,0.458,0.462,0.465,0.471,5001.674,1.001,0.024,74
v_1,1.965,0.004,0.22,1.552,1.811,1.962,2.115,2.404,3658.915,1,2.965,75
v_2,2.636,0.004,0.264,2.12,2.457,2.633,2.812,3.15,3742.524,1,3.362,75
a,2.637,0.006,0.304,2.132,2.421,2.613,2.818,3.31,2678.757,1,2.756,75
ndt,0.614,0.001,0.032,0.54,0.595,0.617,0.637,0.665,3064.856,1,0.231,75
v_1,0.35,0.002,0.142,0.107,0.245,0.34,0.446,0.649,6164.126,1,0.521,76
v_2,1.186,0.003,0.242,0.724,1.02,1.183,1.35,1.666,6919.425,1,1.553,76
a,1.303,0.001,0.057,1.196,1.263,1.301,1.341,1.42,5840.607,1,1.237,76
ndt,0.485,0,0.009,0.465,0.48,0.487,0.492,0.501,5898.907,1.001,0.441,76
v_1,1.807,0.004,0.257,1.305,1.629,1.807,1.983,2.305,5376.722,1,1.408,77
v_2,2.797,0.005,0.352,2.107,2.56,2.798,3.033,3.482,5842.085,1,1.934,77
a,1.094,0.001,0.068,0.973,1.048,1.09,1.137,1.237,4053.53,1,1.154,77
ndt,0.473,0,0.008,0.455,0.468,0.474,0.479,0.487,4354.955,1,0.736,77
v_1,0.382,0.002,0.121,0.161,0.295,0.379,0.465,0.624,5245.042,1,1.44,78
v_2,0.316,0.001,0.108,0.117,0.239,0.311,0.389,0.533,5477.199,1,1.427,78
a,2.003,0.001,0.089,1.836,1.941,2,2.062,2.186,5234.652,1,2.297,78
ndt,0.385,0,0.029,0.323,0.368,0.388,0.405,0.434,5281.759,1,0.195,78
v_1,0.225,0.002,0.141,0.038,0.12,0.197,0.3,0.573,7866.603,1,0.744,79
v_2,0.252,0.002,0.152,0.043,0.141,0.224,0.334,0.618,7457.918,1,1.128,79
a,0.33,0,0.015,0.301,0.319,0.329,0.339,0.361,5098.477,1,0.602,79
ndt,0.494,0,0.001,0.492,0.494,0.494,0.495,0.496,5167.056,1,0.016,79
v_1,2.114,0.006,0.485,1.155,1.79,2.113,2.444,3.062,5717.297,1,3.023,80
v_2,1.583,0.005,0.416,0.776,1.305,1.579,1.858,2.404,6023.193,1,1.707,80
a,0.595,0,0.029,0.542,0.576,0.594,0.614,0.654,5311.093,1.001,0.59,80
ndt,0.506,0,0.002,0.501,0.504,0.506,0.507,0.51,5803.288,1.001,0.453,80
v_1,2.435,0.004,0.302,1.844,2.229,2.438,2.64,3.022,6538.298,1,2.407,81
v_2,1.59,0.003,0.233,1.127,1.434,1.589,1.752,2.044,5680.003,1,1.603,81
a,1.264,0.001,0.077,1.127,1.21,1.26,1.312,1.428,4514.834,1,1.214,81
ndt,0.505,0,0.009,0.485,0.5,0.506,0.511,0.52,5161.68,1,0.508,81
v_1,0.678,0.003,0.263,0.21,0.486,0.668,0.853,1.216,5721.321,1,1.46,82
v_2,0.494,0.003,0.231,0.123,0.322,0.466,0.641,0.995,7262.637,1,1.076,82
a,0.796,0,0.035,0.73,0.771,0.795,0.819,0.87,5314.895,1,0.847,82
ndt,0.488,0,0.004,0.479,0.486,0.489,0.492,0.496,5212.289,1,0.287,82
v_1,0.551,0.002,0.202,0.19,0.408,0.538,0.685,0.967,7174.248,1,0.571,83
v_2,0.693,0.003,0.206,0.303,0.548,0.69,0.834,1.1,6147.301,1,0.91,83
a,1.127,0.001,0.05,1.035,1.092,1.125,1.16,1.231,4978.513,1,1.043,83
ndt,0.488,0,0.008,0.47,0.483,0.489,0.494,0.502,5382.133,1,0.37,83
v_1,0.159,0.001,0.097,0.027,0.087,0.14,0.212,0.397,6589.998,1,1.232,84
v_2,0.214,0.001,0.128,0.038,0.118,0.19,0.285,0.526,7346.051,1,3.766,84
a,0.498,0,0.023,0.457,0.482,0.497,0.513,0.545,3994.93,1,0.926,84
ndt,0.484,0,0.002,0.479,0.483,0.484,0.486,0.488,4326.94,1,0.005,84
v_1,0.212,0.001,0.122,0.04,0.12,0.19,0.28,0.502,7473.881,1,1.612,85
v_2,0.239,0.002,0.142,0.04,0.135,0.214,0.314,0.584,7344.466,1,1.269,85
a,0.686,0,0.031,0.629,0.664,0.684,0.706,0.75,5039.11,1,0.823,85
ndt,0.478,0,0.004,0.47,0.476,0.479,0.481,0.485,5403.494,1,0.116,85
v_1,0.261,0.001,0.092,0.096,0.196,0.257,0.323,0.452,6040.066,1,1.068,86
v_2,0.32,0.001,0.088,0.152,0.257,0.319,0.379,0.493,5763.838,1,0.931,86
a,2.605,0.002,0.12,2.384,2.521,2.6,2.683,2.852,4768.283,1.001,2.798,86
ndt,0.261,0.001,0.049,0.151,0.231,0.264,0.296,0.345,4524.968,1.001,0.149,86
v_1,0.471,0.002,0.128,0.227,0.381,0.467,0.558,0.731,6122.467,1,1.946,87
v_2,0.046,0,0.028,0.007,0.025,0.04,0.061,0.115,7304.011,1,0.35,87
a,1.939,0.001,0.09,1.771,1.876,1.937,1.997,2.122,4811.399,1.001,2.746,87
ndt,0.336,0,0.03,0.27,0.317,0.338,0.357,0.388,4433.702,1.001,0.121,87
v_1,0.696,0.005,0.398,0.135,0.396,0.63,0.92,1.637,7228.531,1,1.471,88
v_2,1.394,0.008,0.684,0.298,0.887,1.317,1.823,2.929,7071.89,1,3.194,88
a,0.248,0,0.011,0.228,0.24,0.247,0.254,0.269,5341.889,1,0.213,88
ndt,0.501,0,0,0.5,0.501,0.501,0.501,0.502,6190.719,1,0.418,88
v_1,0.282,0.002,0.16,0.053,0.161,0.255,0.374,0.66,7600.68,1,1.223,89
v_2,0.42,0.002,0.202,0.093,0.269,0.397,0.548,0.869,6660.306,1,1.751,89
a,0.729,0,0.032,0.669,0.707,0.728,0.75,0.794,5846.924,1,0.748,89
ndt,0.483,0,0.004,0.475,0.481,0.484,0.486,0.49,5717.544,1.001,0.159,89
v_1,0.863,0.002,0.188,0.489,0.736,0.862,0.988,1.233,6918.137,1,1.464,90
v_2,0.153,0.001,0.084,0.028,0.09,0.141,0.202,0.351,6231.75,1,0.656,90
a,1.439,0.001,0.065,1.317,1.394,1.437,1.482,1.574,5933.9,1,1.447,90
ndt,0.464,0,0.014,0.434,0.455,0.465,0.473,0.487,6165.917,1,0.275,90
v_1,1.881,0.005,0.383,1.137,1.62,1.877,2.142,2.629,6721.717,1,1.544,91
v_2,0.789,0.004,0.29,0.275,0.584,0.778,0.974,1.394,6057.075,1,0.896,91
a,0.726,0,0.033,0.665,0.703,0.724,0.748,0.795,5985.466,1,0.7,91
ndt,0.506,0,0.003,0.499,0.504,0.507,0.509,0.512,6421.969,1,0.475,91
v_1,1.537,0.003,0.222,1.114,1.383,1.535,1.687,1.977,6325.037,1,2.375,92
v_2,1.285,0.003,0.211,0.873,1.144,1.285,1.425,1.699,6813.907,1,2.057,92
a,1.415,0.001,0.077,1.273,1.361,1.412,1.465,1.574,6061.091,1.001,1.381,92
ndt,0.478,0,0.01,0.455,0.472,0.479,0.485,0.495,5505.994,1.001,0.262,92
v_1,0.707,0.003,0.197,0.332,0.57,0.702,0.839,1.099,6133.208,1,3.205,93
v_2,0.128,0.001,0.074,0.023,0.071,0.116,0.17,0.303,7438.002,1,0.964,93
a,1.238,0.001,0.057,1.136,1.198,1.235,1.275,1.358,5530.397,1,1.606,93
ndt,0.429,0,0.012,0.402,0.422,0.43,0.438,0.451,5411.173,1,0.085,93
v_1,4.43,0.005,0.375,3.72,4.165,4.425,4.682,5.179,5063.386,1,4.445,94
v_2,1.448,0.003,0.187,1.08,1.327,1.448,1.572,1.813,5297.189,1,1.483,94
a,1.894,0.002,0.148,1.634,1.789,1.885,1.987,2.212,3729.292,1.001,1.866,94
ndt,0.501,0,0.015,0.469,0.492,0.502,0.511,0.525,3934.471,1,0.54,94
v_1,0.084,0.001,0.051,0.015,0.046,0.074,0.112,0.208,7359.39,1,0.715,95
v_2,0.525,0.002,0.16,0.222,0.414,0.522,0.63,0.846,6118.944,1,2.268,95
a,1.422,0.001,0.065,1.301,1.378,1.42,1.465,1.558,4978.649,1.001,2.04,95
ndt,0.419,0,0.016,0.383,0.409,0.42,0.43,0.446,4585.929,1,0.118,95
v_1,2.155,0.004,0.325,1.515,1.931,2.156,2.379,2.787,6167.681,1,2.222,96
v_2,0.615,0.003,0.214,0.226,0.464,0.608,0.758,1.055,6192.414,1,0.582,96
a,0.994,0.001,0.048,0.905,0.96,0.992,1.025,1.093,5093.731,1.001,0.94,96
ndt,0.506,0,0.006,0.492,0.502,0.507,0.51,0.516,5199.201,1.001,0.446,96
v_1,0.539,0.003,0.192,0.188,0.405,0.534,0.666,0.932,5862.782,1,0.666,97
v_2,1.761,0.003,0.264,1.244,1.581,1.764,1.938,2.29,6407.419,1,2.316,97
a,1.127,0.001,0.054,1.029,1.09,1.125,1.163,1.237,5488.22,1,1.201,97
ndt,0.511,0,0.008,0.493,0.506,0.511,0.516,0.524,5628.545,1,0.387,97
v_1,0.265,0.002,0.164,0.045,0.144,0.232,0.355,0.674,7743.228,1,3.447,98
v_2,0.239,0.002,0.147,0.042,0.129,0.21,0.321,0.594,6718.518,1,1.964,98
a,0.351,0,0.016,0.322,0.34,0.35,0.361,0.384,4932.629,1.001,0.562,98
ndt,0.494,0,0.001,0.491,0.493,0.494,0.494,0.495,4830.083,1.001,0.027,98
v_1,0.184,0.001,0.113,0.033,0.101,0.161,0.245,0.466,7285.214,1,1.362,99
v_2,0.23,0.002,0.137,0.042,0.129,0.204,0.305,0.563,7908.968,1,1.278,99
a,0.473,0,0.021,0.435,0.458,0.472,0.487,0.517,4962.325,1,0.795,99
ndt,0.488,0,0.002,0.484,0.487,0.488,0.49,0.492,4343.764,1,0.054,99
v_1,6.13,0.012,0.851,4.444,5.576,6.118,6.697,7.781,4831.724,1,1.501,100
v_2,8.208,0.016,1.145,5.901,7.463,8.243,8.963,10.398,5162.834,1.001,1.027,100
a,0.329,0,0.023,0.288,0.314,0.328,0.344,0.378,3837.868,1,0.737,100
ndt,0.495,0,0.001,0.493,0.495,0.496,0.496,0.497,3941.325,1.001,0.988,100
